"idPredmet";"vysledek";"zkouskove_otazky";"idClovek";"termin";"datum_terminu";"mistnost";"zacatek";"idClovekPrvniZkousejici";"idClovekDruhyZkousejici";"semestrSplneni"
"8966";"S";"";"3834";"-1";"2003-12-02 00:00:00.0";"";"";"-1";"-1";"5"
"1133";"S";"";"3834";"-1";"2004-05-18 00:00:00.0";"";"";"-1";"-1";"6"
"";"S";"";"3834";"-1";"2003-05-27 00:00:00.0";"";"";"-1";"-1";"6"
"";"S";"";"3834";"-1";"2004-02-12 00:00:00.0";"";"";"-1";"-1";"7"
"1134";"S";"";"3834";"-1";"2005-03-15 00:00:00.0";"";"";"-1";"-1";"8"
"";"S";"";"3834";"-1";"2005-06-28 00:00:00.0";"";"";"-1";"-1";"10"
"";"U";"";"2004";"-1";"2002-05-17 00:00:00.0";"";"";"-1";"-1";"3"
"8958";"S";"";"2004";"-1";"2001-05-28 00:00:00.0";"";"";"-1";"-1";"4"
"";"S";"";"2004";"-1";"2002-05-22 00:00:00.0";"";"";"-1";"-1";"5"
"";"S";"";"2004";"-1";"2003-11-28 00:00:00.0";"";"";"-1";"-1";"5"
"1133";"S";"";"3849";"-1";"2002-07-02 00:00:00.0";"";"";"-1";"-1";"4"
"1133";"S";"";"3816";"-1";"2002-11-26 00:00:00.0";"";"";"-1";"-1";"4"
"";"S";"";"3849";"-1";"2003-02-05 00:00:00.0";"";"";"-1";"-1";"4"
"";"S";"";"3811";"-1";"2002-01-09 00:00:00.0";"";"";"-1";"-1";"5"
"";"N";"";"3811";"-1";"2005-10-24 00:00:00.0";"";"";"-1";"-1";"10"
"8964";"S";"";"3835";"-1";"2002-02-19 00:00:00.0";"";"";"-1";"-1";"3"
"8987";"S";"";"3835";"-1";"2002-05-22 00:00:00.0";"";"";"-1";"-1";"3"
"8956";"S";"";"3835";"-1";"2003-11-24 00:00:00.0";"";"";"-1";"-1";"5"
"";"S";"";"3835";"-1";"2003-05-29 00:00:00.0";"";"";"-1";"-1";"6"
"";"S";"";"3835";"-1";"2004-02-12 00:00:00.0";"";"";"-1";"-1";"7"
"";"S";"";"3835";"-1";"2005-06-28 00:00:00.0";"";"";"-1";"-1";"9"
"1382";"S";"";"3836";"-1";"2001-06-27 00:00:00.0";"";"";"-1";"-1";"3"
"8956";"S";"";"3836";"-1";"2001-12-06 00:00:00.0";"";"";"-1";"-1";"3"
"";"U";"";"3836";"-1";"2002-06-12 00:00:00.0";"";"";"-1";"-1";"4"
"";"S";"";"3836";"-1";"2003-01-29 00:00:00.0";"";"";"-1";"-1";"5"
"1133";"S";"";"3836";"-1";"2004-04-27 00:00:00.0";"";"";"-1";"-1";"6"
"1391";"S";"";"3816";"-1";"2002-06-11 00:00:00.0";"";"";"-1";"-1";"3"
"";"U";"";"3816";"-1";"2001-11-16 00:00:00.0";"";"";"-1";"-1";"4"
"";"S";"";"3816";"-1";"2002-12-04 00:00:00.0";"";"";"-1";"-1";"5"
"";"N";"";"3816";"-1";"";"";"";"-1";"-1";"6"
"1379";"S";"";"3837";"-1";"2002-07-03 00:00:00.0";"";"";"-1";"-1";"3"
"8987";"S";"";"3837";"-1";"2002-11-05 00:00:00.0";"";"";"-1";"-1";"5"
"";"U";"";"3837";"-1";"2002-10-01 00:00:00.0";"";"";"-1";"-1";"3"
"1393";"S";"";"3837";"-1";"2002-09-13 00:00:00.0";"";"";"-1";"-1";"3"
"";"S";"";"3837";"-1";"2003-10-31 00:00:00.0";"";"";"-1";"-1";"7"
"8899";"S";"";"3781";"-1";"2002-07-22 00:00:00.0";"";"";"-1";"-1";"5"
"";"S";"";"3781";"-1";"2003-05-29 00:00:00.0";"";"";"-1";"-1";"5"
"8953";"S";"";"3781";"-1";"2002-06-03 00:00:00.0";"";"";"-1";"-1";"2"
"8957";"S";"";"3781";"-1";"2003-02-14 00:00:00.0";"";"";"-1";"-1";"3"
"1393";"S";"";"3781";"-1";"2003-07-03 00:00:00.0";"";"";"-1";"-1";"3"
"";"U";"";"3781";"-1";"2004-01-05 00:00:00.0";"";"";"-1";"-1";"7"
"";"N";"";"3781";"-1";"";"";"";"-1";"-1";"9"
"1133";"S";"";"3825";"-1";"2002-06-04 00:00:00.0";"";"";"-1";"-1";"2"
"1133";"S";"";"3845";"-1";"2001-12-20 00:00:00.0";"";"";"-1";"-1";"2"
"1133";"S";"";"2044";"-1";"2002-06-12 00:00:00.0";"";"";"-1";"-1";"2"
"1133";"S";"";"2041";"-1";"2002-06-27 00:00:00.0";"";"";"-1";"-1";"2"
"1133";"S";"";"2081";"-1";"2002-10-15 00:00:00.0";"";"";"-1";"-1";"2"
"1133";"S";"";"3194";"-1";"2002-01-31 00:00:00.0";"";"";"-1";"-1";"2"
"1134";"S";"";"2004";"-1";"2002-12-17 00:00:00.0";"";"";"-1";"-1";"4"
"1134";"S";"";"3836";"-1";"2004-01-14 00:00:00.0";"";"";"-1";"-1";"6"
