"3";"7220";"Lesní dopravnictví";"DLTX63Y";"48";"2208"
"3";"7387";"LESNÍ PŘIDRUŽENÁ VÝROBA";"DLTX65Y";"98";"178"
"3";"7222";"Lesní těžba";"DLTX64Y";"48";"2208"
"3";"6881";"Lesnick- botanika";"DLDX14Y";"46";"2163"
"3";"7371";"Lesnick- mechanizace";"DLTX56Y";"48";"2209"
"3";"7307";"Lesnick- politika";"DLRX07Y";"55";"2195"
"3";"7379";"Lesnická a zemědělská ekonomika";"DLRX06Y";"55";"109"
"3";"7381";"Lesnická ekonomika";"DLRX03Y";"55";"109"
"3";"7121";"Lesnická genetika a šlechtění lesních dřevin";"DLDX17Y";"46";"2311"
"3";"7295";"Lesotechnick- meliorace";"DLBX32Y";"50";"2156"
"3";"6933";"Malé vodní toky a hrazení bystřin";"DLBX22Y";"50";"2143"
"3";"6932";"Malé vodní toky a nádrže";"DLBX21Y";"50";"2143"
"3";"7315";"Marketing lesního hospodářství";"DLRX10Y";"55";"2196"
"3";"7397";"Matematické modelování";"DLHX11Y";"47";"2201"
"3";"7343";"Matematické modelování hydrol.procesů";"DLVX23Y";"49";"2228"
"3";"7341";"Matematické modelování hydrol.procesů";"DLVX24Y";"49";"2228"
"3";"6934";"Matematické modelování hydrologických procesů";"DLBX23Y";"50";"2143"
"3";"7366";"Mechanizace v lesním hospodářství";"DLTX51Y";"48";"2209"
"3";"7241";"Metody studia ekosystémů";"DLEX15Y";"45";"2174"
"3";"7373";"Modelování lesních výrobních systémů";"DLTX57Y";"48";"2209"
"3";"7122";"Moderní metody ve šlechtění lesních dřevin";"DLDX21Y";"46";"2311"
"3";"7145";"Mykologie";"DLOX03Y";"54";"2213"
"3";"7360";"Myslivost";"DL0X08Y";"54";"2218"
"3";"7385";"NAUKA O DŘEVĚ";"DLTX59Y";"98";"178"
"3";"7239";"Numerické metody a programování";"DLSX07Y";"51";"2309"
"3";"7285";"Obecn- ekologie";"DLEX11Y";"45";"2184"
"3";"7317";"Obecná entomologie";"DLOX06Y";"54";"2215"
"3";"7200";"Obecna fytopatologie";"DLOX04Y";"54";"2213"
"3";"6698";"Oceňování lesů";"DLRX12Y";"55";"1214"
"3";"6700";"Oceňování přírodních zdrojů";"DLRX11Y";"55";"1214"
"3";"7395";"OCHRANA DŘEVA";"DLTX62Y";"98";"178"
"3";"7323";"Ochrana lesů - abitiotičtí škodliví činitelé a obratlovci";"DLOX01Y";"54";"2215"
"3";"7321";"Ochrana lesů - hmyzí škůdci";"DLOX05Y";"54";"2215"
"3";"7143";"Ochrana lesů lesnická fytopatologie";"DLOX02Y";"54";"2213"
"3";"7264";"Ochrana prostředí";"DLEX43Y";"45";"121"
"3";"7262";"Ochrana přírody";"DLEX41Y";"45";"121"
"3";"7266";"Ochrana přírody a krajiny";"DLEX42Y";"45";"121"
"3";"7473";"Ochrana životního prostředí";"DLE46Y";"45";"115"
"3";"7002";"Pěstování lesa DSP";"DLPX02Y";"53";"2220"
"3";"7406";"Populační ekologie rostlin a živočichů";"DLEX13Y";"45";"2183"
"3";"7141";"Posuzovaní vlivů na životní prostředí";"DLUX04Y";"63";"2271"
"3";"7205";"PozemkovÚ ˙pravy";"DLBX11Y";"50";"2154"
"3";"7302";"Produkce lesů";"DLHX03Y";"47";"927"
"3";"6929";"Protierozní ochrana půdy";"DLBX12Y";"50";"2141"
"3";"7148";"Regionální dendrologie";"DLDX22Y";"46";"2651"
"3";"7296";"Rekultivace půdy a odpadové hospodářství";"DLBX33Y";"50";"2156"
"3";"6696";"Řízení lesního hospodářství";"DLRX09Y";"55";"1214"
"3";"7408";"Sběr a zpracování ekologických dat";"DLEX18Y";"45";"2183"
"3";"7150";"Speciální dendrologie";"DLDX24Y";"46";"2651"
"3";"7230";"Stavby pro venkov";"DLSX02Y";"51";"2296"
"3";"7237";"Stavební mechanika";"DLSX03Y";"51";"2304"
"3";"7319";"Systematická entomologie";"DLOX07Y";"54";"2215"
"3";"7124";"Šlechtitelské strategie a programy pro lesní dřeviny";"DLDX25Y";"46";"2311"
"3";"7377";"Technická mechanika pro LI";"DLTX66Y";"48";"2209"
"3";"7364";"Teorie a stavba stroj¨";"DLTX53Y";"48";"2209"
"3";"7367";"Teorie dělení dřeva";"DLTX52Y";"48";"2209"
"3";"7070";"Transport znečištění v povodí";"DLVX18Y";"49";"2234"
"3";"7139";"Úprava vláhového režimu půd";"DLBX31Y";"50";"2146"
"3";"7214";"Urbanismus venkova a územní plánování";"DLSX01Y";"51";"4432"
"3";"6883";"Ve-ejn- zele-";"DLDX23Y";"46";"2163"
"3";"7970";"Veřejná zeleň";"DLDX23y";"46";"2651"
"3";"7375";"Vliv lesní techniky na ŽP";"DLTX58Y";"48";"2209"
"3";"7064";"Vodní hospodářství";"DLVX03Y";"49";"2228"
"3";"7268";"Vybrané problémy ochrany Život. prostředí";"DLEX44Y";"45";"121"
"3";"7348";"VYUŽITÍ BIOMASY";"DLTX54Y";"98";"178"
"3";"7431";"Wood chemistry";"DLTX61Y";"98";"178"
"3";"7126";"Zachování a využívání genetických zdrojů lesních dřevin";"DLDX26Y";"46";"2311"
"3";"7369";"Základy terramechaniky";"DLTX55Y";"48";"2209"
"3";"6935";"Zásady vodního hospodářství a management povodí";"DLBX24Y";"50";"2143"
