"3140";"kotlaba";"1"
"3938";"dvorakj";"2"
"3727";"cindr";"1"
"2952";"brozovad";"1"
"2887";"grygara";"1"
"2860";"hrabe";"1"
"2498";"prochazka";"1"
"3018";"rysan";"1"
"2858";"vazda";"1"
"3959";"beznoska";"2"
"2432";"hejlova";"2"
"3960";"jirsap";"2"
"3966";"volmut";"2"
"2507";"votruba";"2"
"3142";"sailer";"1"
"3970";"drobny";"2"
"2888";"bradna";"1"
"3188";"bicanp";"1"
"3956";"broda";"1"
"3084";"dvorakm";"1"
"3023";"jilek";"1"
"3212";"peterka";"1"
"2957";"poul";"1"
"3328";"michalruzicka";"1"
"3937";"spickap";"1"
"3145";"vondracekj";"2"
"3955";"benesd";"2"
"3968";"dolan";"2"
"2460";"jabko";"2"
"3963";"kuchar";"2"
"2505";"sander";"2"
"3958";"svejkovsky";"2"
"3146";"vondrackovat";"2"
"3139";"bednar";"1"
"3951";"broz";"1"
"3972";"bukvickova";"1"
"2388";"dedp";"1"
"3953";"havelkap";"1"
"3964";"hromadko";"1"
"3965";"hromadkojiri";"1"
"3024";"ejanca";"1"
"3940";"janochova";"1"
"2953";"Jurka";"1"
"2956";"Jirka";"1"
"3936";"kreckova";"1"
"3941";"martinekm";"2"
"3942";"popelka";"1"
"2597";"pprochazka";"1"
"2958";"rudyk";"1"
"2959";"tachecim";"1"
"3144";"vavak";"1"
"3649";"zabloudilova";"1"
"3952";"fichtner";"2"
"3967";"kodetj";"2"
"3950";"kolarovam";"2"
"3943";"ryskovaa";"2"
"3973";"paterao";"2"
"3954";"toniniova";"2"
"2394";"vondrasek";"2"
"3949";"hnilickav";"1"
