"idPredmet";"vysledek";"zkouskove_otazky";"idClovek";"termin";"datum_terminu";"mistnost";"zacatek";"idClovekPrvniZkousejici";"idClovekDruhyZkousejici";"semestrSplneni"
"1393";"S";"(null)";"3779";"-1";"4.6.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"8958";"S";"(null)";"3779";"-1";"2.7.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"8967";"S";"(null)";"3779";"-1";"10.7.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"1137";"S";"(null)";"3779";"-1";"30.6.2003 0:00";"(null)";"(null)";"-1";"-1";"6"
"(null)";"Z";"(null)";"3779";"-1";"29.1.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"8956";"S";"(null)";"3834";"-1";"27.11.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"8997";"S";"(null)";"3834";"-1";"13.6.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"8966";"S";"(null)";"3834";"-1";"2.12.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"1133";"S";"(null)";"3834";"-1";"18.5.2004 0:00";"(null)";"(null)";"-1";"-1";"6"
"(null)";"Z";"(null)";"3834";"-1";"27.5.2003 0:00";"(null)";"(null)";"-1";"-1";"6"
"(null)";"Z";"(null)";"3834";"-1";"12.2.2004 0:00";"(null)";"(null)";"-1";"-1";"7"
"1134";"S";"(null)";"3834";"-1";"15.3.2005 0:00";"(null)";"(null)";"-1";"-1";"8"
"(null)";"S";"(null)";"3834";"-1";"28.6.2005 0:00";"(null)";"(null)";"-1";"-1";"10"
"(null)";"U";"(null)";"2004";"-1";"17.5.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"8958";"S";"(null)";"2004";"-1";"28.5.2001 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"2004";"-1";"22.5.2002 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"S";"(null)";"2004";"-1";"28.11.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"1133";"2";"(null)";"3849";"-1";"2.7.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"1133";"S";"(null)";"3816";"-1";"26.11.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"3849";"-1";"5.2.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"3811";"-1";"9.1.2002 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"-";"(null)";"3811";"-1";"24.10.2005 0:00";"(null)";"(null)";"-1";"-1";"10"
"8964";"S";"(null)";"3835";"-1";"19.2.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"8987";"S";"(null)";"3835";"-1";"22.5.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"8956";"S";"(null)";"3835";"-1";"24.11.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"Z";"(null)";"3835";"-1";"29.5.2003 0:00";"(null)";"(null)";"-1";"-1";"6"
"(null)";"Z";"(null)";"3835";"-1";"12.2.2004 0:00";"(null)";"(null)";"-1";"-1";"7"
"(null)";"S";"(null)";"3835";"-1";"28.6.2005 0:00";"(null)";"(null)";"-1";"-1";"9"
"1382";"S";"(null)";"3836";"-1";"27.6.2001 0:00";"(null)";"(null)";"-1";"-1";"3"
"8956";"S";"(null)";"3836";"-1";"6.12.2001 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"U";"(null)";"3836";"-1";"12.6.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"3836";"-1";"29.1.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"1133";"S";"(null)";"3836";"-1";"27.4.2004 0:00";"(null)";"(null)";"-1";"-1";"6"
"1391";"S";"(null)";"3816";"-1";"11.6.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"U";"(null)";"3816";"-1";"16.11.2001 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"3816";"-1";"4.12.2002 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"-";"(null)";"3816";"-1";"(null)";"(null)";"(null)";"-1";"-1";"6"
"1379";"S";"(null)";"3837";"-1";"3.7.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"8987";"S";"(null)";"3837";"-1";"5.11.2002 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"U";"(null)";"3837";"-1";"1.10.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"1393";"S";"(null)";"3837";"-1";"13.9.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"S";"(null)";"3837";"-1";"31.10.2003 0:00";"(null)";"(null)";"-1";"-1";"7"
"8899";"S";"(null)";"3781";"-1";"22.7.2002 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"Z";"(null)";"3781";"-1";"29.5.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"8953";"S";"(null)";"3781";"-1";"3.6.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"8957";"S";"(null)";"3781";"-1";"14.2.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"1393";"S";"(null)";"3781";"-1";"3.7.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"U";"(null)";"3781";"-1";"5.1.2004 0:00";"(null)";"(null)";"-1";"-1";"7"
"(null)";"-";"(null)";"3781";"-1";"(null)";"(null)";"(null)";"-1";"-1";"9"
"1133";"S";"(null)";"3825";"-1";"4.6.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"1133";"S";"(null)";"3845";"-1";"20.12.2001 0:00";"(null)";"(null)";"-1";"-1";"2"
"1133";"S";"(null)";"2044";"-1";"12.6.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
