"10";"50063";"13"
"11";"50063";"110"
"12";"50079";"63"
"13";"50097";"65"
"14";"50127";"59"
"15";"50146";"102"
"17";"50150";"50"
"18";"50153";"10"
"19";"50195";"101"
"20";"50199";"21"
"21";"50204";"110"
"22";"50221";"66"
"23";"50228";"110"
"24";"50242";"107"
"25";"50253";"10"
"27";"50257";"110"
"28";"50265";"21"
"30";"50274";"107"
"32";"50281";"110"
"35";"50299";"16"
"36";"50313";"10"
"37";"50315";"10"
"38";"50317";"107"
"39";"50321";"10"
"40";"50321";"110"
"42";"50351";"110"
"44";"50385";"21"
"45";"50398";"102"
"46";"50399";"10"
"47";"50418";"102"
"48";"50422";"16"
"49";"50436";"23"
"50";"50438";"102"
"52";"50445";"102"
"53";"50445";"110"
"54";"50446";"110"
"55";"50452";"102"
"56";"50466";"10"
"57";"50474";"11"
"58";"50474";"16"
"59";"50476";"21"
"60";"50476";"67"
"61";"50501";"21"
"62";"50605";"102"
"65";"50619";"107"
"66";"50639";"106"
"67";"50639";"107"
"68";"50674";"102"
"69";"50676";"67"
"70";"50677";"60"
"71";"50677";"62"
"72";"50690";"65"
"73";"50692";"10"
"75";"50725";"16"
"76";"50736";"21"
"77";"50736";"61"
"78";"50738";"101"
"79";"50764";"11"
"80";"50765";"66"
"81";"50771";"60"
"82";"50772";"61"
"83";"50773";"23"
"84";"50781";"12"
"85";"50785";"23"
"86";"50785";"107"
"87";"50787";"10"
"88";"50790";"102"
"89";"50801";"63"
"90";"50843";"10"
"91";"50848";"11"
"92";"50848";"16"
"93";"50851";"107"
"94";"50865";"21"
"95";"50865";"63"
"96";"50865";"67"
"97";"50870";"10"
"98";"50870";"21"
"99";"50870";"63"
"100";"50881";"11"
"101";"50882";"13"
"102";"50884";"13"
"103";"50887";"50"
"104";"50913";"12"
"106";"50948";"16"
"107";"50961";"102"
"108";"50962";"66"
"109";"50970";"66"
"110";"50978";"16"
"111";"50986";"12"
"112";"50986";"15"
"113";"50988";"110"
"115";"51008";"62"
"116";"51061";"110"
"117";"51071";"13"
"118";"51091";"106"
"119";"51096";"23"
"120";"51096";"55"
"121";"51096";"107"
"122";"51100";"10"
"123";"51122";"23"
"124";"51122";"55"
"125";"51122";"107"
"127";"51174";"12"
"128";"51176";"15"
"129";"51186";"12"
"130";"51201";"21"
"131";"51201";"63"
"132";"51202";"102"
"133";"51206";"12"
"134";"51209";"107"
"135";"51214";"16"
"136";"51219";"101"
"137";"51225";"13"
"138";"51231";"11"
"139";"51242";"102"
"140";"51253";"106"
"141";"51256";"21"
"142";"51256";"66"
"143";"51303";"50"
"144";"51341";"16"
"145";"51355";"10"
"146";"51381";"15"
"147";"51384";"23"
"148";"51406";"16"
"149";"51413";"55"
"150";"51418";"102"
"151";"51441";"62"
"152";"51455";"12"
"153";"51455";"13"
"154";"51479";"64"
"155";"51484";"21"
"156";"51484";"60"
"157";"51487";"106"
"158";"51513";"102"
"159";"51570";"15"
"160";"51577";"21"
"161";"51579";"13"
"162";"51588";"23"
"163";"51588";"55"
"164";"51588";"107"
"165";"51608";"10"
"166";"51634";"55"
"167";"51634";"106"
"168";"51644";"101"
"169";"51644";"102"
"170";"51670";"13"
"172";"51674";"13"
"173";"51747";"13"
"174";"51773";"21"
"175";"51789";"50"
"176";"51789";"106"
"177";"51799";"59"
"178";"51799";"64"
"179";"51840";"11"
"181";"51922";"10"
"182";"51931";"23"
"183";"52007";"10"
"184";"52043";"21"
"185";"52126";"23"
"186";"52126";"107"
"187";"52132";"106"
"188";"52149";"10"
"189";"52152";"65"
"190";"52154";"10"
"191";"52203";"16"
"192";"52263";"21"
"193";"52274";"10"
"194";"52291";"21"
"195";"52291";"60"
"196";"52306";"10"
"197";"52322";"13"
"198";"52363";"23"
"199";"52364";"106"
"200";"52373";"102"
"201";"52396";"64"
"202";"52420";"12"
"203";"52420";"110"
"204";"52485";"67"
"205";"52489";"10"
"206";"52489";"101"
"207";"52494";"10"
"208";"52538";"65"
"209";"52587";"101"
"210";"52619";"59"
"211";"52675";"10"
"212";"52762";"23"
"213";"52762";"50"
"214";"52798";"106"
"215";"52860";"101"
"216";"52862";"50"
"217";"52890";"59"
"218";"53044";"102"
"219";"53118";"106"
"220";"53228";"64"
"221";"53413";"10"
"222";"53447";"10"
"223";"53499";"102"
"224";"53607";"12"
"225";"53638";"21"
"226";"53641";"102"
"227";"53641";"110"
"228";"53653";"10"
"230";"53778";"102"
"231";"54205";"107"
"232";"54344";"10"
"233";"54525";"10"
"234";"54525";"63"
