55678,79746
43693,79768
65765,79714
65739,79736
49400,79760
65750,79696
49401,79761
65755,79789
65763,79711
65740,79743
49397,79693
49399,79759
55676,79700
43666,79684
43684,79689
39346,79787
49393,79744
43662,79788
65752,79681
49389,79738
65753,79680
65767,79779
55672,79688
65744,79754
43651,79728
55686,79756
43667,79732
49396,79734
65769,79782
49406,79682
49390,79725
55701,79783
65994,79733
65784,79685
49404,79785
65770,79766
65771,79784
65727,79786
55693,79777
43645,79774
55706,79724
36088,79566
65781,79763
43754,79767
65742,79750
65745,79755
65743,79753
39354,79699
44915,79762
49366,79675
55695,79729
49392,79741
65768,79764
55704,79778
65747,79703
65764,79718
55685,79757
65751,79677
55687,79673
55688,79726
65748,79707
73578,75854
55673,79695
65735,79722
55700,79709
55690,79679
65741,79730
49423,79705
55696,79780
43677,79771
49368,79846
65766,79772
55708,79776
55694,79721
65746,79706
55691,79704
55689,79727
