"idPredmet";"vysledek";"zkouskove_otazky";"idClovek";"termin";"datum_terminu";"mistnost";"zacatek";"idClovekPrvniZkousejici";"idClovekDruhyZkousejici";"semestrSplneni"
"1134";"-";"(null)";"3889";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1134";"S";"(null)";"3889";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1133";"-";"(null)";"3447";"-1";"(null)";"(null)";"(null)";"-1";"-1";"1"
"1133";"S";"(null)";"3447";"-1";"(null)";"(null)";"(null)";"-1";"-1";"2"
"1134";"-";"(null)";"3447";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1134";"-";"(null)";"3447";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1135";"-";"(null)";"3861";"-1";"(null)";"(null)";"(null)";"-1";"-1";"1"
"1135";"-";"(null)";"3861";"-1";"(null)";"(null)";"(null)";"-1";"-1";"2"
"1133";"-";"(null)";"3861";"-1";"(null)";"(null)";"(null)";"-1";"-1";"5"
"1133";"-";"(null)";"3861";"-1";"(null)";"(null)";"(null)";"-1";"-1";"6"
"1134";"-";"(null)";"3929";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1134";"-";"(null)";"3929";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1133";"-";"(null)";"3929";"-1";"(null)";"(null)";"(null)";"-1";"-1";"5"
"1133";"-";"(null)";"3929";"-1";"(null)";"(null)";"(null)";"-1";"-1";"6"
"1135";"-";"(null)";"3928";"-1";"(null)";"(null)";"(null)";"-1";"-1";"1"
"1135";"-";"(null)";"3928";"-1";"(null)";"(null)";"(null)";"-1";"-1";"2"
"1134";"-";"(null)";"3928";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1134";"-";"(null)";"3928";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1133";"-";"(null)";"3862";"-1";"(null)";"(null)";"(null)";"-1";"-1";"1"
"1133";"S";"(null)";"3862";"-1";"(null)";"(null)";"(null)";"-1";"-1";"2"
"1134";"-";"(null)";"3862";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1134";"-";"(null)";"3862";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1133";"-";"(null)";"2913";"-1";"(null)";"(null)";"(null)";"-1";"-1";"1"
"1133";"S";"(null)";"2913";"-1";"(null)";"(null)";"(null)";"-1";"-1";"2"
"1136";"-";"(null)";"2913";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1136";"-";"(null)";"2913";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1133";"-";"(null)";"3884";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1133";"-";"(null)";"3884";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1135";"-";"(null)";"3884";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1135";"-";"(null)";"3884";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1133";"-";"(null)";"3931";"-1";"(null)";"(null)";"(null)";"-1";"-1";"1"
"1133";"S";"(null)";"3931";"-1";"(null)";"(null)";"(null)";"-1";"-1";"2"
"1136";"-";"(null)";"3931";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1136";"-";"(null)";"3931";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1133";"-";"(null)";"2634";"-1";"(null)";"(null)";"(null)";"-1";"-1";"1"
"1133";"-";"(null)";"2634";"-1";"(null)";"(null)";"(null)";"-1";"-1";"2"
