"121";"61589";"3";"1";"1";"-1";"";"";"";"";"";"100000";"1210";"bartova"
"422";"65094";"3";"1";"1";"7";"4";"Strukturální politika Evropské unie ve vztahu k zemědělství a venkovu.";"4";"";"422.pdf";"100001";"1342";"bechyne"
"442";"66982";"3";"1";"1";"7";"4";"Metodologie projektování podnikových portálů pro podporu E-komerce";"7";"4";"323.pdf";"100002";"1371";"brazda"
"450";"66514";"3";"1";"1";"9";"6";"Zavádění bezpečnostních opatření do sítí";"9";"6";"366.pdf";"100003";"1373";"nezdarova"
"477";"56654";"3";"1";"1";"9";"6";"Demokratický proces  na subnacionálních úrovních politického rozhodování";"9";"6";"477.pdf";"100004";"1363";"copik"
"479";"64328";"3";"1";"1";"8";"5";"ICT jako významný faktor konkurenceschopnosti";"9";"6";"320.pdf";"100005";"1097";"simek"
"482";"54301";"3";"2";"1";"9";"6";"Ekonomické a pedagogické aspekty řízení současného českého středního odborného školství v souvislosti se vstupem do EU.";"9";"6";"482.pdf";"100006";"1355";"porvichova"
"418";"53559";"3";"2";"1";"8";"5";"";"";"";"";"100007";"1382";"bilek"
"508";"61648";"3";"2";"1";"8";"5";"Adaptabilita organizací na změny vnějšího prostředí";"9";"6";"294.pdf";"100008";"1332";"masatova"
"510";"68048";"3";"1";"1";"7";"4";"Krizové řízení podniku";"9";"6";"295.pdf";"100009";"1331";"konigova"
"514";"53391";"3";"2";"1";"8";"5";"";"";"";"";"100010";"1370";"simekt"
"621";"65387";"2";"2";"1";"9";"4";"Problematika utváření pracovních týmu a jejich motivace";"10";"5";"621.pdf";"100011";"1655";"sulc"
"125";"62190";"3";"1";"1";"-1";"";"";"";"";"";"100012";"1174";"dvorakmartin"
"126";"62238";"3";"1";"1";"-1";"";"";"";"";"";"100013";"991";"jerzi"
"128";"62484";"3";"1";"1";"-1";"";"";"";"";"";"100014";"1175";"kejla"
"131";"63289";"3";"1";"1";"-1";"";"";"";"";"";"100015";"1226";"krskova"
"143";"56301";"3";"1";"1";"-1";"";"";"";"";"";"100016";"1179";"picka"
"144";"64727";"3";"1";"1";"-1";"";"";"";"";"";"100017";"1180";"prochazka"
"145";"64691";"3";"1";"1";"-1";"";"";"";"";"";"100018";"1137";"rous"
"154";"62034";"3";"1";"1";"-1";"";"";"";"";"";"100019";"1181";"brozs"
"158";"58613";"3";"1";"1";"-1";"";"";"";"";"";"100020";"1233";"kasparl"
"164";"64855";"3";"1";"1";"-1";"";"";"";"";"";"100021";"1206";"letak"
"395";"68202";"3";"1";"1";"9";"6";"Podmínky konkurenceschopnosti výroby bionafty v České republice";"9";"6";"395.pdf";"100022";"1350";"vancurova"
"284";"59143";"3";"1";"1";"-1";"";"";"";"";"";"100023";"1281";"richter"
"315";"63146";"3";"1";"1";"9";"6";"Návrh a vývoj expertního systému a jeho použití v zemědělství";"9";"6";"315.pdf";"100024";"1746";"stinka"
"317";"67043";"3";"1";"1";"8";"5";"Portálová řešení a konkurenční výhoda";"9";"6";"317.pdf";"100025";"1096";"cermak"
"327";"62240";"3";"1";"1";"9";"6";"Návrh a ověření metod statistické analýzy pro podnikatelské a marketingové rozhodování na trhu s agrárními produkty";"9";"6";"327.pdf";"100026";"1384";"louda"
"330";"68576";"3";"1";"1";"9";"6";"Využití technik ""data mining"" v ekonomickém výzkumu";"9";"6";"330.pdf";"100027";"1385";"oborna"
"331";"64173";"3";"2";"1";"9";"6";"Analýza demografických údajů ve venkovském prostoru";"9";"6";"331.pdf";"100028";"1386";"petrickova"
"341";"65645";"3";"2";"1";"9";"6";"";"";"";"";"100030";"1349";"olehlova"
"633";"65232";"2";"2";"1";"11";"6";"Trh bioproduktů a biopotravin";"9";"4";"633.pdf";"100031";"1607";"curda"
"646";"67155";"2";"1";"1";"10";"5";"Metody k řešení tvorby a zajištění finančního portfolia rodiny";"11";"6";"646.pdf";"100032";"1243";"tyrpak"
"519";"61775";"3";"1";"1";"7";"4";"Občanská společnost a její vliv na regionální a sociální rozvoj - srovnání tří regionů (ČR, EU a Kanady)";"9";"6";"309.pdf";"100033";"1364";"hasova"
"700";"63059";"2";"1";"1";"11";"6";"Možnosti implementace značkovacího jazyka XML a jeho využití v jazyce Java při tvorbě dynamických internetových aplikací";"10";"5";"700.pdf";"100034";"993";"dvorakv"
"706";"69499";"2";"1";"1";"11";"6";"Vliv mobilních technologií na společnost";"11";"6";"706.pdf";"100035";"1643";"drasnar"
"707";"67737";"2";"1";"1";"11";"6";"Koncepce a implementace informačního systému na bázi www technologií";"11";"6";"707.pdf";"100036";"1230";"vasilenko"
"708";"66572";"2";"1";"1";"11";"6";"E-learning - možnosti a způsoby řešení při tvorbě výukových kurzů";"11";"6";"708.pdf";"100037";"1538";"pejsarova"
"729";"68395";"2";"1";"1";"9";"4";"Lidské zdroje v evropském prostoru";"11";"6";"729.pdf";"100038";"1617";"odehnalova"
"735";"54439";"2";"2";"1";"11";"6";"Komunikační kanály mezi divizemi, útvary a jednotlivými stupni řízení";"11";"6";"735.pdf";"100039";"1602";"kocmanova"
"736";"68305";"2";"1";"1";"11";"6";"Analýza vývojových trendů regionální zaměstnanosti";"11";"6";"736.pdf";"100040";"1671";"krbcova"
"737";"63685";"2";"1";"1";"11";"6";"";"";"";"";"100041";"1705";"jirakova"
"738";"64686";"2";"2";"1";"9";"4";"NÁVRH A OVĚŘENÍ STATISTICKÝCH METOD PRO ANALÝZU ZJIŠŤOVÁNÍ PIRÁTSKY VYROBENÝCH HUDEBNÍCH NOSIČŮ.";"9";"4";"738.pdf";"100042";"1615";"herman"
