"3086";"2004-09-01 00:00:00.0"
"2908";"2004-09-01 00:00:00.0"
"3774";"2004-09-01 00:00:00.0"
"3383";"2004-09-01 00:00:00.0"
"3358";"2004-09-01 00:00:00.0"
"3826";"2004-09-01 00:00:00.0"
"2939";"2004-09-01 00:00:00.0"
"2940";"2004-09-01 00:00:00.0"
"2999";"2004-09-01 00:00:00.0"
"3795";"2004-09-01 00:00:00.0"
"2840";"2004-09-01 00:00:00.0"
"3814";"2004-09-01 00:00:00.0"
"2941";"2004-09-01 00:00:00.0"
"2997";"2004-09-01 00:00:00.0"
"3283";"2004-09-01 00:00:00.0"
"3975";"2004-09-01 00:00:00.0"
"3789";"2004-09-01 00:00:00.0"
"2943";"2004-09-01 00:00:00.0"
"3788";"2004-09-01 00:00:00.0"
"2899";"2004-09-01 00:00:00.0"
"3360";"2004-09-01 00:00:00.0"
"2848";"2004-09-01 00:00:00.0"
"3382";"2004-09-01 00:00:00.0"
"3001";"2004-09-01 00:00:00.0"
"3843";"2004-09-01 00:00:00.0"
"2849";"2004-09-01 00:00:00.0"
"3286";"2004-09-01 00:00:00.0"
"3828";"2004-09-01 00:00:00.0"
"3799";"2004-09-01 00:00:00.0"
"2946";"2004-09-01 00:00:00.0"
"3815";"2004-09-01 00:00:00.0"
"3000";"2004-09-01 00:00:00.0"
"3841";"2004-09-01 00:00:00.0"
"2905";"2004-09-01 00:00:00.0"
"3363";"2004-09-01 00:00:00.0"
"3786";"2004-09-01 00:00:00.0"
"2896";"2004-10-01 00:00:00.0"
"3811";"1999-11-01 00:00:00.0"
