"2";"9435";"Alternativní zdroje energií v tropech a subtropech";"DITI03Y";"59";"2318"
"2";"9431";"Aplikované strojní inženýrství";"DITI04Y";"59";"1561"
"2";"9419";"Certifikace a hodnocení kvality potravin v tropech a subtropech";"DIZI12Y";"58";"1803"
"2";"7160";"Crop production in Tropics and Subtropics";"DIRI13Y";"61";"2332"
"2";"7164";"Crop production in Tropics and Subtropics III.";"DIRI15Y";"61";"2332"
"2";"7174";"Ekologie v TS";"DIRI10Y";"61";"2337"
"2";"8090";"Ekology in TS";"DIRI10";"61";"1560"
"2";"9441";"Ekonomika a geografie světového hospodářství";"DITI52Y";"59";"2318"
"2";"9447";"Ekonomika odvětví národního hospodářství rozvojových zemí";"DITI53Y";"59";"193"
"2";"9421";"Ekonomika zemědělství a přírodních zdrojů";"DITI50Y";"59";"193"
"2";"9459";"Finančnictví a bankovnictví";"DITI57Y";"59";"5122"
"2";"7170";"General Crop Production in TS";"DIRI01Y";"61";"1560"
"2";"9417";"Hygiena a technologie zpracování živočišných produktů v tropech a subtropech";"DIZI08Y";"58";"1803"
"2";"7176";"Chov drůbeže v TS";"DIZI04Y";"58";"2346"
"2";"7182";"Chov koz v TS";"DIZI10Y";"58";"2348"
"2";"7180";"Chov ovcí v TS";"DIZI09Y";"58";"2348"
"2";"7178";"Chov prasat v TS";"DIZI05Y";"58";"2346"
"2";"9433";"Konvenční a nekonvenční manipulace s materiálem";"DITI13Y";"59";"1561"
"2";"9451";"Management v zemědělství rozvojových zemí";"DITI51Y";"59";"5122"
"2";"9453";"Marketing v zemědělství rozvojových zemí";"DITI54Y";"59";"5122"
"2";"9429";"Mechanizace pěstování plantážních plodin";"DITI05Y";"59";"1561"
"2";"9423";"Mechanizace zemědělství pro rostlinnou produkci tropů a subtropů";"DITI01Y";"59";"1561"
"2";"9425";"Mechanizace zemědělství pro živočišnou produkci tropů a subtropů";"DITI15E";"59";"1561"
"2";"7166";"Obecná produkce rostlinná";"DIRI01Y";"61";"2332"
"2";"9455";"Organizace a řízení zemědělství v tropů a subtropů";"DITI55Y";"59";"5122"
"2";"7168";"Plant breeding and seed production in TS";"DIRI16Y";"61";"2332"
"2";"9443";"Projekty a plánování v zemědělství rozvojových zemích";"DITI56Y";"59";"2318"
"2";"9457";"Řízení farem v tropech a subtropech";"DITI58Y";"59";"5122"
"2";"9445";"Služby a poradenství v rozvojových zemích";"DITI62Y";"59";"1558"
"2";"8149";"Special crop production in TS";"DIRI02Y";"61";"2332"
"2";"7184";"Speciální zootechnika v TS";"DIZI01Y";"58";"1565"
"2";"9427";"Technika zpracování a skladování zemědělských produktů tropů a subtropů";"DITI07Y";"59";"1561"
"2";"9437";"Technologické systémy v zemědělství tropů a subtropů";"DITI12Y";"59";"2318"
"2";"8092";"Tissue culture Techniques";"DIRI17Y";"61";"2332"
"2";"7188";"Výroba krmných směsí v TS";"DIZI06Y";"58";"2342"
"2";"9439";"Využití strojně traktorového parku";"DITI08Y";"59";"2318"
"2";"7186";"Výživa a krmení hospodářských zvířat v TS";"DIZI03Y";"58";"2342"
"2";"9449";"Zahraniční obchod s tropickými a subtropickými produkty";"DITI61Y";"59";"193"
"5";"9538";"Zemědělské stavby a mechanizace živočišné produkce";"DIDI094";"11";"2462"
"2";"9589";"Zoohygiena a prevence onemocnění zvířat v TS";"DIZI07Y";"58";"2346"
"9";"9594";"Didaktické a prezentační dovednosti";"RZX20E";"57";"1409"
