"secretary_id";"department_id"
2033;27
2070;29
2124;36
1965;104
2853;40
2084;34
2045;35
2175;45
2203;47
2212;54
2211;48
2190;55
2142;50
2232;49
2223;53
2302;51
1009;13
380;18
1006;14
1008;21
1010;17
1118;16
1024;24
1410;15
1825;19
1017;23
1834;20
1117;25
2857;3
2859;5
2845;7
2430;2
2409;3
2457;4
2502;7
2385;6
2469;11
2397;10
2486;8
2417;9
